ticker,signal_mode,days,rank,ob_value,os_value,stop_ticks,take_profit_ticks,trailing_stop_ticks,breakeven_ticks,atr_ratio_min,max_hold_minutes,n_trades,win_rate,total_pnl,profit_factor,max_drawdown,avg_hold_candles,exit_stop_loss,exit_take_profit,exit_trailing_stop,exit_breakeven_stop,exit_timeout,exit_eod_close,exit_other
NVTK,mean_reversion,60,9,75.0,15.0,84,252,0,0,0.7,150,102,41.2,-5.08,0.99,65.7,24.6,29,4,0,0,69,0,0
NVTK,mean_reversion,60,10,80.0,15.0,84,252,0,0,0.5,150,97,46.4,-4.0,0.99,71.81,25.4,23,2,0,0,72,0,0
PHOR,mean_reversion,60,0,80.0,20.0,70,210,50,60,0.7,,160,22.5,-1975.32,0.17,1976.7,7.0,0,0,149,0,11,0,0
PHOR,mean_reversion,60,1,75.0,10.0,98,294,0,0,0.7,90,101,46.5,-1.77,1.0,238.57,15.7,19,3,0,0,79,0,0
PHOR,mean_reversion,60,2,85.0,10.0,98,294,0,49,0.7,150,74,33.8,0.65,1.0,259.15,19.1,18,4,0,20,32,0,0
PHOR,mean_reversion,60,3,75.0,10.0,70,210,0,0,0.5,150,108,41.7,-22.85,0.99,304.42,22.1,34,6,0,0,68,0,0
PHOR,mean_reversion,60,4,75.0,10.0,70,210,0,0,0.7,150,101,43.6,-18.38,0.99,256.05,22.0,32,6,0,0,63,0,0
PHOR,mean_reversion,60,5,75.0,10.0,98,294,0,83,0.7,90,101,43.6,-38.8,0.97,256.22,15.4,18,3,0,5,75,0,0
PHOR,mean_reversion,60,6,75.0,10.0,70,280,0,0,0.7,150,100,43.0,-55.61,0.97,302.82,22.3,32,4,0,0,64,0,0
PHOR,mean_reversion,60,7,85.0,10.0,98,294,0,49,0.0,150,78,32.1,-42.74,0.97,259.15,19.1,18,4,0,23,33,0,0
PHOR,mean_reversion,60,8,85.0,10.0,98,294,0,49,0.5,150,77,32.5,-37.25,0.97,259.15,19.2,18,4,0,22,33,0,0
PHOR,mean_reversion,60,9,75.0,10.0,98,294,0,0,0.5,90,110,45.5,-62.95,0.96,264.18,15.8,20,3,0,0,87,0,0
PHOR,mean_reversion,60,10,75.0,10.0,70,280,0,0,0.5,150,107,41.1,-60.08,0.96,304.42,22.4,34,4,0,0,69,0,0
PLZL,mean_reversion,60,0,80.0,20.0,80,240,56,68,0.7,,123,30.9,-340.75,0.48,356.84,13.2,0,0,101,0,22,0,0
PLZL,mean_reversion,60,1,80.0,25.0,80,240,0,0,0.0,150,117,47.9,11.58,1.02,121.8,27.0,21,2,0,0,94,0,0
PLZL,mean_reversion,60,2,80.0,25.0,80,320,0,0,0.0,150,116,48.3,14.61,1.02,121.8,27.2,21,1,0,0,94,0,0
PLZL,mean_reversion,60,3,80.0,25.0,112,224,0,95,0.0,150,115,47.8,1.24,1.0,98.03,28.0,12,3,0,2,98,0,0
PLZL,mean_reversion,60,4,75.0,25.0,80,320,0,40,0.0,150,125,40.8,-15.37,0.98,108.14,24.0,24,1,0,23,77,0,0
PLZL,mean_reversion,60,5,80.0,25.0,112,224,0,0,0.0,150,114,48.2,-13.78,0.98,113.05,28.1,12,3,0,0,99,0,0
